Order_ID,Order_Date,Shipping_Date,Customer_Segment,Product_Category,Quantity,Sales_USD,Shipping_Cost_USD,Delivery_Time_Days,Estimated_Delivery_Days,Distance_KM,Warehouse_Code,Region,Shipping_Mode,Delivery_Status,Customer_Rating,Order_Processing_Days,Shipping_Delay_Days,Is_Delayed,Cost_Per_Unit,Cost_Per_KM,Speed_Index_KMPD,Enc_Shipping_Mode_Express Air,Enc_Shipping_Mode_Ground Freight,Enc_Shipping_Mode_Same-Day Courier,Enc_Shipping_Mode_Standard Delivery,Enc_Customer_Segment_Consumer,Enc_Customer_Segment_Corporate,Enc_Customer_Segment_Home Office,Enc_Customer_Segment_Small Business,Enc_Region_Central,Enc_Region_East,Enc_Region_North,Enc_Region_South,Enc_Region_West,Norm_Quantity,Norm_Sales_USD,Norm_Shipping_Cost_USD,Norm_Delivery_Time_Days,Norm_Distance_KM,Norm_Cost_Per_Unit,Norm_Cost_Per_KM
ORD-2024-2179,2024-03-12,2024-03-13,Corporate,Apparel,1,79.81,66.97,6.9,5,1275.4,WH-Central,South,Standard Delivery,Delivered,5.0,1,1.9,1,66.97,0.0525,184.84,0,0,0,1,0,1,0,0,0,0,0,1,0,0.0,0.0233,0.262,0.5792,0.6597,0.2802,0.0189
ORD-2024-1342,2024-02-06,2024-02-10,Consumer,Electronics,4,1192.24,46.28,5.7,5,508.9,WH-East,Central,Standard Delivery,Delivered,5.0,4,0.7,1,11.57,0.0909,89.28,0,0,0,1,1,0,0,0,1,0,0,0,0,0.038,0.5442,0.1701,0.4706,0.233,0.0401,0.0374
ORD-2024-1649,2024-03-13,2024-03-17,Corporate,Apparel,4,310.56,81.15,2.4,2,269.9,WH-North,East,Express Air,Delivered,4.0,4,0.4,1,20.29,0.3007,112.46,1,0,0,0,0,1,0,0,0,1,0,0,0,0.038,0.1314,0.325,0.1719,0.1,0.0779,0.1385
ORD-2024-1772,2024-03-20,2024-03-24,Consumer,Healthcare Supplies,8,953.17,103.39,8.0,5,1685.5,WH-Central,West,Standard Delivery,Delivered,4.0,4,3.0,1,12.92,0.0613,210.69,0,0,0,1,1,0,0,0,0,0,0,0,1,0.0886,0.4323,0.4238,0.6787,0.8879,0.046,0.0231
ORD-2024-1803,2024-05-08,2024-05-10,Corporate,Healthcare Supplies,2,250.5,75.37,3.7,7,737.2,WH-Central,South,Ground Freight,Delivered,5.0,2,-3.3,0,37.68,0.1022,199.24,0,1,0,0,0,1,0,0,0,0,0,1,0,0.0127,0.1033,0.2993,0.2896,0.3601,0.1533,0.0428
ORD-2024-1358,2024-05-20,2024-05-22,Small Business,Electronics,1,265.85,94.28,4.3,7,1112.7,WH-Central,North,Ground Freight,Delivered,4.0,2,-2.7,0,94.28,0.0847,258.77,0,1,0,0,0,0,0,1,0,0,1,0,0,0.0,0.1105,0.3833,0.3439,0.5691,0.3986,0.0344
ORD-2024-1044,2024-05-05,2024-05-09,Consumer,Apparel,3,237.87,100.87,2.9,2,1886.88,WH-North,North,Express Air,Delayed,3.0,4,0.9,1,33.62,0.0535,650.65,1,0,0,0,1,0,0,0,0,0,1,0,0,0.0253,0.0974,0.4126,0.2172,1.0,0.1357,0.0194
ORD-2024-1231,2024-04-05,2024-04-06,Corporate,Electronics,8,1918.02,79.83,7.7,5,1193.7,WH-West,East,Standard Delivery,Delivered,3.0,1,2.7,1,9.98,0.0669,155.03,0,0,0,1,0,1,0,0,0,1,0,0,0,0.0886,0.8841,0.3191,0.6516,0.6142,0.0332,0.0258
ORD-2024-1618,2024-06-04,2024-06-08,Home Office,Electronics,2,510.06,233.0,4.6,2,1886.88,WH-North,North,Express Air,Delivered,3.0,4,2.6,1,116.5,0.1235,410.19,1,0,0,0,0,0,1,0,0,0,1,0,0,0.0127,0.2248,0.9997,0.371,1.0,0.4948,0.0531
ORD-2024-1043,2024-01-17,2024-01-18,Small Business,Industrial Machinery,1,1432.57,72.94,3.4,2,227.6,WH-West,East,Express Air,Delivered,4.0,1,1.4,1,72.94,0.3205,66.94,1,0,0,0,0,0,0,1,0,1,0,0,0,0.0,0.6568,0.2885,0.2624,0.0765,0.3061,0.1481
